_CUSTOM_FIELDS
- _zl_process_id=75076 _zl_received_time=1718262140647 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:32:20:647" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | GET | /app | /admin/employees" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262145729 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:32:25:729" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | GET | /app | /admin/search" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262153001 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:32:33:001" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | POST | /app | /admin/search" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262172868 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:32:52:868" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | POST | /app | /admin/search" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262184853 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:33:04:853" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | GET | /app | /admin/transaction" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262202667 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:33:22:667" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | POST | /app | /admin/authorization" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262202712 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:33:22:712" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | GET | /app | /admin/authorization" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262216598 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:33:36:598" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | POST | /app | /admin/authorization" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262223250 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:33:43:250" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | GET | /app | /admin/branch_accounts" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262228781 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:33:48:781" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | POST | /app | /admin/branch_accounts" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262230014 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:33:50:014" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | POST | /app | /admin/branch_accounts" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262236458 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:33:56:458" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | GET | /app | /admin/profile" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262239228 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:33:59:228" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | GET | /app | /admin/logout" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262239268 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:33:59:268" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | GET | /login | null" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262318307 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:35:18:307" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | GET | /app | /admin/api_service" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262318847 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:35:18:847" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | GET | /app | /admin/search" account=sharan-pt-7373
