********************************************************************************
* This is a Java Service Wrapper failover log file.
*  Was unable to write to ../logs/wrapper.log.
********************************************************************************

STATUS | wrapper  | 2024/06/18 14:23:17 | --> Wrapper Started as Console
STATUS | wrapper  | 2024/06/19 15:53:16 |   Licensed to Zoho Corporation Pvt. Ltd. for MickeyLite
STATUS | wrapper  | 2024/06/19 15:53:16 | 
WARN   | wrapper  | 2024/06/19 15:53:16 | Unable to write to the configured log file: ../logs/wrapper.log (No such file or directory)
WARN   | wrapper  | 2024/06/19 15:53:16 |   Falling back to the default file in the current working directory: /home/sharan-pt-7373/Documents/GitHub/CSKBankingApplication/bin/wrapper.log
STATUS | wrapper  | 2024/06/19 15:53:17 | Launching a JVM...
STATUS | wrapper  | 2024/06/20 19:23:07 | --> Wrapper Started as Console
STATUS | wrapper  | 2024/06/20 19:23:07 | Java Service Wrapper Professional Edition 64-bit 3.5.51
STATUS | wrapper  | 2024/06/20 19:23:07 |   Copyright (C) 1999-2022 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2024/06/20 19:23:07 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2024/06/20 19:23:07 |   Licensed to Zoho Corporation Pvt. Ltd. for MickeyLite
STATUS | wrapper  | 2024/06/20 19:23:07 | 
WARN   | wrapper  | 2024/06/20 19:23:07 | Unable to write to the configured log file: ../logs/wrapper.log (No such file or directory)
WARN   | wrapper  | 2024/06/20 19:23:07 |   Falling back to the default file in the current working directory: /home/sharan-pt-7373/Documents/GitHub/CSKBankingApplication/bin/wrapper.log
STATUS | wrapper  | 2024/06/20 19:23:08 | Launching a JVM...
